Interaction_id,interaction_type,interaction_outcome,follow_up_required,interaction_channel,follow_up_date,customer_id
870,Complaint,Pending,Yes,Email,2024-11-02,6274
871,Feedback,Resolved,No ,Email,2024-10-04,10091
872,Feedback,Resolved,Yes,Email,2024-10-12,8707
873,Support Request,Pending,Yes,Email,2024-10-04,3005
874,Support Request,Resolved,No ,Chat,2024-10-19,5768
875,Complaint,Unresolved,Yes,Email,2024-10-29,257
876,Feedback,Implemented,No ,Phone,2024-10-29,9989
877,Complaint,Pending,Yes,Email,2024-10-12,10117
878,Complaint,Implemented,No ,Chat,2024-10-30,8020
879,Feedback,Unresolved,No ,Chat,2024-10-31,2053
880,Complaint,Implemented,Yes,Email,2024-10-26,3725
881,Support Request,Implemented,No ,Chat,2024-10-11,1032
882,Complaint,Unresolved,Yes,Chat,2024-10-11,2240
883,Feedback,Resolved,No ,Phone,2024-10-14,10560
884,Feedback,Pending,No ,Chat,2024-10-08,946
885,Feedback,Pending,No ,Email,2024-10-27,5160
886,Complaint,Implemented,No ,Chat,2024-10-22,9986
887,Complaint,Implemented,Yes,Phone,2024-10-22,8018
888,Support Request,Unresolved,Yes,Chat,2024-10-04,10107
889,Feedback,Implemented,Yes,Phone,2024-10-11,5167
890,Support Request,Unresolved,Yes,Email,2024-11-02,3229
891,Support Request,Implemented,Yes,Email,2024-10-30,6717
892,Support Request,Unresolved,Yes,Phone,2024-10-17,6422
893,Complaint,Unresolved,Yes,Phone,2024-10-08,9218
894,Support Request,Unresolved,No ,Phone,2024-10-31,9354
895,Support Request,Resolved,No ,Email,2024-10-26,6944
896,Feedback,Resolved,Yes,Phone,2024-10-09,2720
897,Complaint,Implemented,No ,Chat,2024-10-22,372
898,Complaint,Resolved,No ,Chat,2024-10-27,8108
899,Feedback,Unresolved,Yes,Phone,2024-10-12,4507
900,Support Request,Implemented,Yes,Phone,2024-10-05,10666
901,Complaint,Pending,Yes,Email,2024-10-29,3220
902,Feedback,Resolved,No ,Chat,2024-10-31,2940
903,Complaint,Unresolved,Yes,Email,2024-11-01,5869
904,Complaint,Resolved,No ,Phone,2024-10-30,4571
905,Feedback,Unresolved,Yes,Chat,2024-10-09,1622
906,Feedback,Implemented,No ,Chat,2024-10-20,5137
907,Support Request,Pending,No ,Email,2024-10-06,7468
908,Complaint,Pending,Yes,Chat,2024-10-26,2410
909,Feedback,Implemented,No ,Chat,2024-10-29,3487
910,Feedback,Implemented,No ,Phone,2024-10-11,10524
911,Complaint,Implemented,No ,Chat,2024-10-19,9588
912,Feedback,Resolved,Yes,Chat,2024-10-26,603
913,Support Request,Resolved,Yes,Email,2024-10-17,1294
914,Support Request,Unresolved,No ,Email,2024-10-17,5119
915,Complaint,Implemented,Yes,Phone,2024-10-23,7932
916,Complaint,Unresolved,Yes,Chat,2024-10-06,8893
917,Support Request,Unresolved,Yes,Chat,2024-10-17,9095
918,Complaint,Implemented,Yes,Phone,2024-11-02,6000
919,Complaint,Implemented,No ,Email,2024-10-19,4203
920,Feedback,Pending,No ,Chat,2024-10-17,6800
921,Feedback,Unresolved,Yes,Phone,2024-10-27,9519
922,Support Request,Implemented,No ,Phone,2024-10-21,6890
923,Feedback,Pending,Yes,Chat,2024-10-25,5567
924,Complaint,Unresolved,No ,Email,2024-10-15,3005
925,Support Request,Resolved,Yes,Email,2024-10-16,6671
926,Complaint,Implemented,Yes,Chat,2024-10-05,5491
927,Feedback,Unresolved,No ,Email,2024-10-10,7816
928,Complaint,Pending,Yes,Phone,2024-10-28,4476
929,Feedback,Resolved,Yes,Email,2024-10-04,6989
930,Support Request,Resolved,No ,Chat,2024-10-26,10026
931,Feedback,Unresolved,Yes,Email,2024-10-09,1832
932,Complaint,Resolved,Yes,Chat,2024-10-28,4966
933,Feedback,Pending,Yes,Email,2024-11-02,8248
934,Support Request,Resolved,No ,Chat,2024-10-24,3825
935,Feedback,Unresolved,No ,Chat,2024-10-18,284
936,Support Request,Resolved,No ,Chat,2024-10-25,3119
937,Complaint,Implemented,No ,Phone,2024-11-02,8209
938,Feedback,Resolved,Yes,Phone,2024-10-20,9907
939,Complaint,Unresolved,No ,Email,2024-10-20,10868
940,Feedback,Implemented,No ,Email,2024-10-23,9716
941,Support Request,Pending,Yes,Phone,2024-10-24,6374
942,Complaint,Resolved,No ,Chat,2024-10-21,2974
943,Feedback,Resolved,No ,Phone,2024-10-06,6709
944,Complaint,Implemented,Yes,Phone,2024-10-15,1936
945,Feedback,Resolved,No ,Email,2024-10-05,740
946,Support Request,Implemented,No ,Chat,2024-10-27,1751
947,Support Request,Unresolved,No ,Phone,2024-10-05,10169
948,Complaint,Implemented,Yes,Chat,2024-10-06,74
949,Complaint,Pending,Yes,Phone,2024-10-17,2992
950,Feedback,Unresolved,Yes,Email,2024-10-21,6337
951,Feedback,Unresolved,Yes,Chat,2024-11-02,7025
952,Complaint,Pending,Yes,Chat,2024-10-21,7235
953,Feedback,Implemented,No ,Chat,2024-10-15,7700
954,Support Request,Unresolved,Yes,Chat,2024-10-28,9215
955,Feedback,Pending,Yes,Chat,2024-10-23,4294
956,Complaint,Resolved,Yes,Chat,2024-11-02,2218
957,Support Request,Unresolved,No ,Email,2024-10-16,2528
958,Support Request,Resolved,No ,Phone,2024-10-16,4803
959,Feedback,Implemented,No ,Chat,2024-10-13,3085
960,Feedback,Implemented,No ,Chat,2024-10-22,9531
961,Feedback,Unresolved,Yes,Phone,2024-10-17,4348
962,Support Request,Implemented,No ,Chat,2024-10-09,2057
963,Feedback,Unresolved,Yes,Phone,2024-10-14,4600
964,Support Request,Unresolved,No ,Email,2024-10-14,3559
965,Support Request,Resolved,No ,Chat,2024-10-23,9419
966,Support Request,Pending,Yes,Phone,2024-10-24,520
967,Support Request,Unresolved,Yes,Phone,2024-10-14,6
968,Feedback,Resolved,Yes,Phone,2024-10-11,10937
969,Feedback,Unresolved,Yes,Email,2024-10-25,393
970,Complaint,Pending,Yes,Chat,2024-11-02,1218
971,Feedback,Implemented,No ,Chat,2024-10-26,2575
972,Support Request,Unresolved,No ,Chat,2024-10-19,9597
973,Complaint,Unresolved,Yes,Phone,2024-10-28,3547
974,Complaint,Implemented,Yes,Phone,2024-10-16,5102
975,Feedback,Resolved,No ,Email,2024-11-01,7204
976,Feedback,Pending,No ,Phone,2024-10-04,6776
977,Complaint,Pending,No ,Email,2024-11-02,2811
978,Complaint,Implemented,Yes,Chat,2024-10-10,2248
979,Complaint,Pending,No ,Chat,2024-10-25,3352
980,Support Request,Unresolved,Yes,Chat,2024-10-07,10829
981,Complaint,Implemented,Yes,Chat,2024-10-11,9946
982,Complaint,Resolved,Yes,Phone,2024-10-26,2502
983,Support Request,Unresolved,Yes,Email,2024-10-06,746
984,Feedback,Unresolved,No ,Email,2024-11-02,3388
985,Complaint,Implemented,Yes,Phone,2024-10-26,3254
986,Feedback,Resolved,Yes,Email,2024-11-01,8196
987,Feedback,Pending,Yes,Email,2024-10-20,1145
988,Complaint,Unresolved,Yes,Email,2024-10-14,10123
989,Complaint,Implemented,No ,Email,2024-11-02,4848
990,Support Request,Resolved,No ,Email,2024-10-08,3949
991,Support Request,Unresolved,Yes,Email,2024-10-11,3968
992,Feedback,Pending,Yes,Chat,2024-10-17,521
993,Complaint,Unresolved,No ,Email,2024-10-30,10144
994,Feedback,Pending,No ,Phone,2024-10-12,2429
995,Feedback,Resolved,No ,Email,2024-10-04,5898
996,Complaint,Unresolved,No ,Email,2024-10-21,6966
997,Support Request,Implemented,Yes,Chat,2024-10-07,9656
998,Support Request,Unresolved,No ,Phone,2024-10-07,8476
999,Complaint,Implemented,Yes,Email,2024-10-30,6631
1000,Feedback,Unresolved,No ,Phone,2024-10-14,373
1001,Support Request,Resolved,Yes,Chat,2024-10-29,1495
1002,Complaint,Unresolved,Yes,Phone,2024-10-05,5133
1003,Complaint,Implemented,No ,Phone,2024-10-31,7624
1004,Support Request,Implemented,No ,Email,2024-10-05,7077
1005,Feedback,Implemented,Yes,Email,2024-10-13,9026
1006,Complaint,Unresolved,Yes,Email,2024-10-09,10371
1007,Support Request,Implemented,No ,Email,2024-10-08,4640
1008,Feedback,Resolved,No ,Chat,2024-10-29,8747
1009,Support Request,Pending,No ,Email,2024-10-11,5888
1010,Support Request,Resolved,Yes,Phone,2024-10-30,6891
1011,Feedback,Resolved,Yes,Email,2024-10-13,1771
1012,Complaint,Resolved,No ,Chat,2024-11-01,10278
1013,Support Request,Unresolved,No ,Phone,2024-10-08,7502
1014,Feedback,Implemented,No ,Phone,2024-10-26,7389
1015,Support Request,Resolved,Yes,Email,2024-10-10,845
1016,Complaint,Resolved,No ,Phone,2024-10-21,9770
1017,Support Request,Resolved,Yes,Chat,2024-10-09,9085
1018,Complaint,Unresolved,Yes,Chat,2024-10-21,667
1019,Complaint,Resolved,Yes,Phone,2024-11-02,1851
1020,Complaint,Resolved,Yes,Phone,2024-10-12,5138
1021,Support Request,Resolved,Yes,Email,2024-10-28,5343
1022,Feedback,Resolved,No ,Phone,2024-10-30,3204
1023,Feedback,Implemented,No ,Phone,2024-11-02,2814
1024,Feedback,Pending,Yes,Email,2024-10-26,4124
1025,Feedback,Pending,No ,Chat,2024-10-06,2674
1026,Feedback,Pending,No ,Chat,2024-10-21,9853
1027,Support Request,Implemented,Yes,Phone,2024-10-21,2482
1028,Support Request,Unresolved,No ,Email,2024-10-31,1563
1029,Complaint,Resolved,Yes,Phone,2024-10-15,2129
1030,Support Request,Unresolved,Yes,Email,2024-10-27,7040
1031,Support Request,Resolved,No ,Chat,2024-10-18,5501
1032,Feedback,Implemented,No ,Chat,2024-10-20,4491
1033,Support Request,Pending,No ,Phone,2024-10-07,7229
1034,Support Request,Pending,Yes,Email,2024-10-25,8720
1035,Feedback,Unresolved,No ,Email,2024-10-08,6282
1036,Complaint,Implemented,Yes,Email,2024-10-17,9234
1037,Complaint,Pending,No ,Chat,2024-10-25,9351
1038,Complaint,Implemented,Yes,Chat,2024-10-25,3697
1039,Support Request,Pending,No ,Phone,2024-10-27,7633
1040,Feedback,Pending,Yes,Phone,2024-10-15,5899
1041,Feedback,Pending,No ,Phone,2024-10-06,4986
1042,Feedback,Unresolved,No ,Email,2024-10-12,5539
1043,Support Request,Pending,Yes,Chat,2024-11-01,10707
1044,Feedback,Unresolved,Yes,Phone,2024-10-15,1579
1045,Support Request,Pending,Yes,Email,2024-10-09,1940
1046,Support Request,Unresolved,Yes,Email,2024-10-08,9470
1047,Feedback,Implemented,Yes,Phone,2024-10-09,5379
1048,Feedback,Pending,Yes,Email,2024-10-25,208
1049,Feedback,Pending,Yes,Chat,2024-10-23,3769
1050,Support Request,Pending,Yes,Email,2024-10-14,3971
1051,Support Request,Implemented,No ,Email,2024-10-16,6062
1052,Support Request,Resolved,Yes,Chat,2024-10-31,1678
1053,Support Request,Implemented,No ,Email,2024-10-29,9882
1054,Support Request,Implemented,No ,Email,2024-10-05,3379
1055,Feedback,Resolved,Yes,Phone,2024-10-24,6422
1056,Support Request,Pending,No ,Email,2024-10-10,6079
1057,Complaint,Implemented,Yes,Chat,2024-10-24,9135
1058,Feedback,Resolved,Yes,Phone,2024-10-08,8064
1059,Support Request,Pending,Yes,Email,2024-10-14,1893
1060,Support Request,Resolved,No ,Email,2024-10-28,10904
1061,Feedback,Resolved,Yes,Phone,2024-10-16,2253
1062,Complaint,Pending,Yes,Phone,2024-10-22,3127
1063,Complaint,Resolved,No ,Chat,2024-10-22,6100
1064,Feedback,Implemented,Yes,Chat,2024-10-28,5561
1065,Complaint,Pending,Yes,Email,2024-10-16,4665
1066,Support Request,Implemented,Yes,Phone,2024-10-25,2064
1067,Support Request,Implemented,No ,Email,2024-10-15,3142
1068,Support Request,Implemented,Yes,Email,2024-10-10,4579
1069,Support Request,Resolved,Yes,Chat,2024-10-13,4357
1070,Feedback,Pending,Yes,Chat,2024-11-01,5404
1071,Feedback,Pending,Yes,Chat,2024-10-16,1088
1072,Support Request,Implemented,Yes,Phone,2024-10-09,5393
1073,Support Request,Implemented,Yes,Phone,2024-10-05,10997
1074,Feedback,Pending,No ,Email,2024-10-27,2292
1075,Feedback,Implemented,No ,Email,2024-10-06,9537
1076,Support Request,Pending,Yes,Phone,2024-10-05,10965
1077,Feedback,Resolved,No ,Phone,2024-10-16,10766
1078,Complaint,Pending,Yes,Phone,2024-10-25,4309
1079,Support Request,Implemented,No ,Phone,2024-10-26,8864
1080,Support Request,Resolved,No ,Chat,2024-10-15,1426
1081,Feedback,Implemented,No ,Phone,2024-10-15,9206
1082,Support Request,Resolved,Yes,Chat,2024-10-08,9035
1083,Complaint,Unresolved,Yes,Chat,2024-10-04,9459
1084,Feedback,Unresolved,Yes,Chat,2024-10-19,4258
1085,Complaint,Resolved,No ,Chat,2024-10-05,38
1086,Support Request,Unresolved,Yes,Phone,2024-10-06,4633
1087,Support Request,Implemented,No ,Email,2024-10-17,2224
1088,Complaint,Unresolved,No ,Phone,2024-10-22,2939
1089,Support Request,Resolved,No ,Email,2024-10-25,7479
1090,Support Request,Pending,No ,Email,2024-10-13,2900
1091,Support Request,Resolved,No ,Phone,2024-10-06,3773
1092,Complaint,Implemented,Yes,Phone,2024-11-01,1209
1093,Complaint,Resolved,No ,Chat,2024-10-14,1158
1094,Support Request,Unresolved,No ,Email,2024-10-15,9146
1095,Feedback,Pending,No ,Chat,2024-10-21,1685
1096,Complaint,Resolved,Yes,Phone,2024-10-18,1167
1097,Complaint,Unresolved,No ,Chat,2024-10-30,580
1098,Support Request,Resolved,No ,Chat,2024-10-07,10380
1099,Feedback,Implemented,No ,Phone,2024-10-16,157
1100,Feedback,Pending,Yes,Phone,2024-10-04,10061
1101,Complaint,Resolved,No ,Email,2024-10-27,6473
1102,Complaint,Unresolved,Yes,Email,2024-10-13,4177
1103,Support Request,Unresolved,Yes,Phone,2024-10-16,8397
1104,Support Request,Pending,No ,Chat,2024-10-18,6116
1105,Support Request,Implemented,No ,Phone,2024-10-22,957
1106,Complaint,Unresolved,Yes,Email,2024-10-16,1614
1107,Feedback,Unresolved,No ,Phone,2024-10-25,3017
1108,Feedback,Resolved,No ,Chat,2024-10-11,8512
1109,Feedback,Unresolved,No ,Chat,2024-10-31,9894
1110,Feedback,Unresolved,Yes,Phone,2024-10-20,3128
1111,Feedback,Implemented,No ,Chat,2024-10-12,3392
1112,Feedback,Implemented,Yes,Email,2024-10-15,8303
1113,Support Request,Unresolved,Yes,Email,2024-10-28,8543
1114,Feedback,Pending,No ,Chat,2024-10-11,1932
1115,Support Request,Unresolved,No ,Phone,2024-10-07,3149
1116,Complaint,Unresolved,No ,Phone,2024-10-06,9721
1117,Complaint,Unresolved,Yes,Phone,2024-10-25,8703
1118,Complaint,Resolved,No ,Email,2024-10-17,6131
1119,Feedback,Resolved,No ,Chat,2024-10-15,3383
1120,Support Request,Implemented,No ,Email,2024-10-28,3820
1121,Support Request,Resolved,No ,Email,2024-10-07,6715
1122,Complaint,Resolved,Yes,Email,2024-10-23,3044
1123,Complaint,Pending,No ,Email,2024-10-18,3655
1124,Feedback,Implemented,Yes,Email,2024-10-13,6300
1125,Support Request,Pending,Yes,Phone,2024-10-08,668
1126,Support Request,Unresolved,Yes,Chat,2024-10-19,10422
1127,Complaint,Pending,Yes,Phone,2024-10-28,9225
1128,Feedback,Pending,Yes,Email,2024-10-23,1906
1129,Feedback,Pending,Yes,Chat,2024-10-30,8680
1130,Complaint,Implemented,Yes,Email,2024-10-09,9472
1131,Support Request,Unresolved,Yes,Email,2024-10-09,9167
1132,Support Request,Implemented,Yes,Phone,2024-10-22,3455
1133,Complaint,Resolved,No ,Phone,2024-10-13,10725
1134,Feedback,Implemented,No ,Chat,2024-10-05,7436
1135,Feedback,Unresolved,Yes,Chat,2024-10-07,4039
1136,Feedback,Pending,Yes,Chat,2024-10-07,9453
1137,Feedback,Resolved,No ,Email,2024-10-30,1210
1138,Feedback,Implemented,No ,Email,2024-10-13,4701
1139,Feedback,Pending,No ,Phone,2024-10-30,4443
1140,Support Request,Implemented,No ,Phone,2024-10-05,9061
1141,Feedback,Unresolved,Yes,Phone,2024-10-31,544
1142,Feedback,Unresolved,Yes,Chat,2024-11-01,5399
1143,Support Request,Resolved,No ,Email,2024-10-24,10565
1144,Complaint,Implemented,No ,Phone,2024-10-23,7639
1145,Feedback,Pending,Yes,Phone,2024-10-16,5986
1146,Feedback,Pending,Yes,Chat,2024-11-02,311
1147,Complaint,Unresolved,Yes,Chat,2024-10-17,10051
1148,Support Request,Pending,Yes,Email,2024-10-21,3849
1149,Support Request,Implemented,Yes,Email,2024-10-17,8540
1150,Feedback,Resolved,Yes,Phone,2024-10-25,3431
1151,Feedback,Unresolved,Yes,Email,2024-11-02,7592
1152,Support Request,Resolved,Yes,Chat,2024-10-05,9210
1153,Feedback,Pending,No ,Email,2024-10-17,9997
1154,Feedback,Implemented,No ,Chat,2024-10-08,3798
1155,Support Request,Resolved,Yes,Chat,2024-11-02,10641
1156,Support Request,Pending,No ,Chat,2024-10-30,1987
1157,Feedback,Pending,Yes,Chat,2024-10-18,3083
1158,Feedback,Pending,Yes,Email,2024-10-23,10086
1159,Feedback,Pending,Yes,Phone,2024-10-04,3331
1160,Support Request,Implemented,Yes,Chat,2024-10-12,9007
1161,Support Request,Implemented,No ,Chat,2024-10-31,8404
1162,Complaint,Pending,Yes,Chat,2024-10-23,791
1163,Feedback,Unresolved,Yes,Phone,2024-10-08,10064
1164,Complaint,Resolved,Yes,Email,2024-10-31,180
1165,Feedback,Resolved,Yes,Phone,2024-10-19,6554
1166,Support Request,Resolved,No ,Email,2024-10-27,10078
1167,Complaint,Unresolved,No ,Chat,2024-10-07,2811
1168,Complaint,Unresolved,Yes,Email,2024-10-27,6566
1169,Support Request,Pending,No ,Chat,2024-10-25,3954
1170,Support Request,Implemented,No ,Email,2024-10-30,7280
1171,Feedback,Implemented,Yes,Phone,2024-10-05,7287
1172,Complaint,Unresolved,No ,Chat,2024-10-21,5703
1173,Support Request,Resolved,Yes,Chat,2024-10-27,5
1174,Complaint,Implemented,Yes,Chat,2024-10-17,6357
1175,Complaint,Unresolved,Yes,Phone,2024-10-17,6581
1176,Support Request,Unresolved,Yes,Phone,2024-10-30,2335
1177,Complaint,Implemented,Yes,Phone,2024-10-17,13
1178,Complaint,Pending,No ,Phone,2024-10-26,816
1179,Complaint,Pending,Yes,Phone,2024-10-13,10934
1180,Complaint,Pending,No ,Phone,2024-10-28,3067
1181,Complaint,Resolved,Yes,Phone,2024-10-24,6003
1182,Support Request,Unresolved,No ,Email,2024-10-17,7230
1183,Support Request,Unresolved,No ,Phone,2024-11-01,2775
1184,Feedback,Implemented,No ,Email,2024-10-19,10156
1185,Feedback,Resolved,Yes,Email,2024-10-26,474
1186,Support Request,Unresolved,No ,Email,2024-11-01,4378
1187,Feedback,Unresolved,Yes,Phone,2024-10-15,7682
1188,Support Request,Pending,Yes,Email,2024-10-18,3996
1189,Feedback,Implemented,No ,Phone,2024-10-08,569
1190,Support Request,Pending,No ,Email,2024-10-13,9002
1191,Complaint,Implemented,No ,Email,2024-10-29,7627
1192,Support Request,Implemented,Yes,Chat,2024-10-14,7640
1193,Complaint,Implemented,Yes,Phone,2024-10-24,8174
1194,Complaint,Resolved,Yes,Chat,2024-10-15,7084
1195,Complaint,Unresolved,Yes,Phone,2024-10-16,2312
1196,Support Request,Unresolved,Yes,Email,2024-10-05,10037
1197,Feedback,Implemented,Yes,Email,2024-10-06,503
1198,Support Request,Unresolved,No ,Email,2024-10-22,10668
1199,Feedback,Pending,No ,Phone,2024-10-13,7354
1200,Feedback,Unresolved,Yes,Email,2024-10-31,2056
1201,Support Request,Unresolved,No ,Chat,2024-10-04,3781
1202,Feedback,Implemented,Yes,Chat,2024-10-29,7806
1203,Complaint,Resolved,Yes,Phone,2024-10-11,2088
1204,Support Request,Resolved,Yes,Email,2024-10-14,7047
1205,Feedback,Implemented,Yes,Chat,2024-10-07,1491
1206,Complaint,Implemented,Yes,Chat,2024-10-06,2283
1207,Feedback,Unresolved,Yes,Chat,2024-11-01,2296
1208,Feedback,Unresolved,Yes,Email,2024-10-22,3134
1209,Support Request,Unresolved,No ,Phone,2024-10-17,8162
1210,Support Request,Implemented,No ,Email,2024-10-09,2652
1211,Complaint,Implemented,No ,Phone,2024-10-22,6805
1212,Complaint,Implemented,No ,Phone,2024-10-11,3317
1213,Feedback,Unresolved,Yes,Chat,2024-10-25,10597
1214,Feedback,Implemented,No ,Chat,2024-10-25,6366
1215,Complaint,Implemented,Yes,Phone,2024-10-24,235
1216,Support Request,Resolved,Yes,Chat,2024-10-11,2988
1217,Feedback,Unresolved,No ,Chat,2024-10-09,9431
1218,Feedback,Resolved,Yes,Email,2024-11-02,1626
1219,Complaint,Unresolved,No ,Email,2024-10-06,403
1220,Complaint,Pending,No ,Phone,2024-10-23,9057
1221,Complaint,Resolved,No ,Email,2024-10-19,385
1222,Feedback,Pending,No ,Email,2024-10-30,10269
1223,Feedback,Pending,Yes,Email,2024-10-14,8070
1224,Support Request,Implemented,No ,Email,2024-10-26,3064
1225,Feedback,Implemented,No ,Chat,2024-10-23,2452
1226,Support Request,Implemented,Yes,Email,2024-10-13,8031
1227,Feedback,Implemented,Yes,Email,2024-10-10,2509
1228,Feedback,Implemented,Yes,Email,2024-10-08,2844
1229,Complaint,Unresolved,Yes,Chat,2024-10-25,9422
1230,Support Request,Unresolved,Yes,Phone,2024-10-06,9352
1231,Feedback,Implemented,Yes,Phone,2024-10-26,3322
1232,Feedback,Unresolved,Yes,Chat,2024-10-28,6674
1233,Feedback,Resolved,No ,Email,2024-10-26,6520
1234,Feedback,Pending,No ,Chat,2024-10-25,6515
1235,Complaint,Resolved,Yes,Phone,2024-10-25,1118
1236,Support Request,Implemented,No ,Email,2024-10-10,1516
1237,Support Request,Pending,Yes,Phone,2024-10-19,8015
1238,Support Request,Resolved,No ,Phone,2024-10-28,2749
1239,Support Request,Pending,No ,Chat,2024-10-08,6892
1240,Support Request,Implemented,No ,Email,2024-10-27,2932
1241,Support Request,Resolved,Yes,Email,2024-10-26,2065
1242,Complaint,Implemented,Yes,Email,2024-11-02,1619
1243,Feedback,Pending,Yes,Chat,2024-10-25,10503
1244,Feedback,Unresolved,No ,Chat,2024-10-18,9961
1245,Support Request,Unresolved,Yes,Phone,2024-10-04,3668
1246,Complaint,Unresolved,No ,Chat,2024-10-23,2464
1247,Complaint,Implemented,Yes,Chat,2024-10-14,7785
1248,Complaint,Implemented,Yes,Phone,2024-10-23,4721
1249,Feedback,Pending,No ,Phone,2024-10-07,8922
1250,Feedback,Unresolved,No ,Email,2024-10-04,4272
1251,Support Request,Implemented,No ,Phone,2024-10-23,6595
1252,Complaint,Pending,No ,Phone,2024-10-13,8551
1253,Feedback,Implemented,Yes,Chat,2024-10-08,6481
1254,Support Request,Implemented,Yes,Chat,2024-10-09,213
1255,Support Request,Pending,Yes,Chat,2024-10-12,9376
1256,Complaint,Unresolved,Yes,Chat,2024-10-27,2577
1257,Support Request,Unresolved,Yes,Email,2024-10-05,4912
1258,Complaint,Implemented,Yes,Email,2024-10-26,4814
1259,Support Request,Resolved,Yes,Phone,2024-10-25,1476
1260,Feedback,Pending,Yes,Chat,2024-10-06,8571
1261,Complaint,Implemented,No ,Phone,2024-11-01,9962
1262,Feedback,Unresolved,Yes,Chat,2024-10-07,1429
1263,Feedback,Unresolved,Yes,Email,2024-10-15,8081
1264,Support Request,Resolved,Yes,Phone,2024-10-12,10649
1265,Complaint,Pending,No ,Chat,2024-10-04,10187
1266,Support Request,Pending,No ,Chat,2024-10-08,3168
1267,Support Request,Pending,No ,Chat,2024-10-10,851
1268,Support Request,Implemented,Yes,Phone,2024-10-07,6416
1269,Support Request,Resolved,No ,Phone,2024-10-05,4465
1270,Complaint,Resolved,No ,Phone,2024-10-16,10391
1271,Complaint,Resolved,Yes,Email,2024-10-12,1658
1272,Feedback,Unresolved,Yes,Chat,2024-10-26,5891
1273,Complaint,Implemented,No ,Chat,2024-10-17,1519
1274,Support Request,Implemented,Yes,Chat,2024-10-19,1167
1275,Complaint,Pending,Yes,Phone,2024-10-10,4103
1276,Support Request,Unresolved,No ,Chat,2024-10-31,6977
1277,Support Request,Unresolved,Yes,Email,2024-10-15,150
1278,Feedback,Pending,No ,Email,2024-10-11,4679
1279,Feedback,Pending,Yes,Phone,2024-10-18,3371
1280,Feedback,Implemented,Yes,Chat,2024-10-30,1392
1281,Support Request,Unresolved,Yes,Phone,2024-10-25,4217
1282,Complaint,Pending,Yes,Phone,2024-10-05,753
1283,Complaint,Pending,No ,Phone,2024-10-16,6995
1284,Support Request,Resolved,Yes,Email,2024-10-27,2575
1285,Support Request,Unresolved,No ,Email,2024-10-27,5243
1286,Support Request,Pending,No ,Chat,2024-10-27,5445
1287,Feedback,Pending,Yes,Chat,2024-10-06,2727
1288,Support Request,Pending,Yes,Phone,2024-10-31,2273
1289,Support Request,Resolved,No ,Chat,2024-10-09,1121
1290,Support Request,Resolved,Yes,Phone,2024-10-29,3492
1291,Complaint,Resolved,No ,Email,2024-10-13,9453
1292,Support Request,Pending,Yes,Phone,2024-10-07,6280
1293,Feedback,Implemented,No ,Chat,2024-10-14,465
1294,Support Request,Resolved,Yes,Email,2024-10-14,10377
1295,Complaint,Implemented,No ,Phone,2024-10-27,1792
1296,Support Request,Unresolved,Yes,Phone,2024-10-30,781
1297,Complaint,Pending,No ,Chat,2024-10-19,5073
1298,Complaint,Pending,No ,Email,2024-10-15,8129
1299,Complaint,Resolved,Yes,Email,2024-10-06,5071
1300,Support Request,Pending,Yes,Phone,2024-10-15,5180
1301,Support Request,Unresolved,Yes,Chat,2024-10-11,8995
1302,Complaint,Unresolved,No ,Phone,2024-10-06,806
1303,Feedback,Unresolved,Yes,Chat,2024-10-25,2904
1304,Feedback,Resolved,Yes,Email,2024-10-26,8174
1305,Support Request,Pending,Yes,Email,2024-10-11,9236
1306,Complaint,Implemented,Yes,Chat,2024-10-22,6139
1307,Support Request,Resolved,No ,Chat,2024-10-28,1533
1308,Support Request,Pending,Yes,Phone,2024-10-15,5234
1309,Feedback,Pending,No ,Email,2024-11-01,2734
1310,Support Request,Resolved,No ,Chat,2024-10-06,10073
1311,Support Request,Pending,Yes,Chat,2024-10-07,2424
1312,Feedback,Resolved,No ,Chat,2024-10-30,3294
1313,Support Request,Resolved,Yes,Chat,2024-10-29,9152
1314,Complaint,Pending,Yes,Phone,2024-10-15,6920
1315,Feedback,Implemented,No ,Phone,2024-10-22,454
1316,Support Request,Pending,No ,Phone,2024-10-19,2638
1317,Feedback,Pending,Yes,Phone,2024-10-31,843
1318,Support Request,Implemented,No ,Chat,2024-10-13,1828
1319,Feedback,Pending,No ,Email,2024-10-17,5374
1320,Complaint,Unresolved,Yes,Chat,2024-10-30,4214
1321,Complaint,Unresolved,Yes,Chat,2024-10-09,5418
1322,Complaint,Resolved,Yes,Phone,2024-10-08,184
1323,Complaint,Implemented,Yes,Phone,2024-10-09,7910
1324,Support Request,Resolved,Yes,Chat,2024-10-06,10079
1325,Support Request,Unresolved,No ,Chat,2024-10-24,2323
1326,Complaint,Pending,No ,Email,2024-10-13,6668
1327,Support Request,Pending,No ,Email,2024-10-06,8622
1328,Feedback,Implemented,Yes,Email,2024-10-15,3507
1329,Support Request,Resolved,No ,Chat,2024-10-28,9347
1330,Complaint,Unresolved,Yes,Chat,2024-10-06,2731
1331,Support Request,Resolved,No ,Email,2024-10-06,4805
1332,Complaint,Unresolved,Yes,Email,2024-10-21,4941
1333,Feedback,Implemented,Yes,Phone,2024-10-11,7956
1334,Complaint,Implemented,No ,Email,2024-10-05,8739
1335,Feedback,Unresolved,No ,Chat,2024-11-01,3259
1336,Complaint,Resolved,Yes,Phone,2024-10-11,9943
